GoID,GoPowerID_0,GoPowerID_1,GoPowerID_2,GoPowerID_3,GoPowerID_4,TS_Index,TSPower_0,TSPower_1,TSPower_2,TSPower_3,TSPower_4
AdeptHumanFemale,SFXPowerCustomActionMP_Singularity,SFXPowerCustomActionMP_Warp,SFXPowerCustomActionMP_Shockwave,SFXPowerCustomActionMP_HumanPassive,SFXPowerCustomActionMP_HumanMeleePassive_Adept,247,Pc,fb,Fb,ab,Za6
AdeptHumanMale,SFXPowerCustomActionMP_Singularity,SFXPowerCustomActionMP_Warp,SFXPowerCustomActionMP_Shockwave,SFXPowerCustomActionMP_HumanPassive,SFXPowerCustomActionMP_HumanMeleePassive_Adept,248,Pc,fb,Fb,ab,Za6
EngineerHumanFemale,SFXPowerCustomActionMP_CombatDrone,SFXPowerCustomActionMP_Incinerate,SFXPowerCustomActionMP_Overload,SFXPowerCustomActionMP_HumanPassive,SFXPowerCustomActionMP_HumanMeleePassive_Engineer,249,vc,tb,Rb,ab,Za2
EngineerHumanMale,SFXPowerCustomActionMP_CombatDrone,SFXPowerCustomActionMP_Incinerate,SFXPowerCustomActionMP_Overload,SFXPowerCustomActionMP_HumanPassive,SFXPowerCustomActionMP_HumanMeleePassive_Engineer,250,vc,tb,Rb,ab,Za2
InfiltratorHumanFemale,SFXPowerCustomActionMP_Cloak,SFXPowerCustomActionMP_CryoBlast,SFXPowerCustomActionMP_StickyGrenade,SFXPowerCustomActionMP_HumanPassive,SFXPowerCustomActionMP_HumanMeleePassive_Infiltrator,251,bb,Zb,Rc,ab,Za4
InfiltratorHumanMale,SFXPowerCustomActionMP_Cloak,SFXPowerCustomActionMP_CryoBlast,SFXPowerCustomActionMP_StickyGrenade,SFXPowerCustomActionMP_HumanPassive,SFXPowerCustomActionMP_HumanMeleePassive_Infiltrator,252,bb,Zb,Rc,ab,Za4
SentinelHumanFemale,SFXPowerCustomActionMP_TechArmor,SFXPowerCustomActionMP_Warp,SFXPowerCustomActionMP_Throw,SFXPowerCustomActionMP_HumanPassive,SFXPowerCustomActionMP_HumanMeleePassive_Sentinel,253,Gb,fb,nc,ab,Za3
SentinelHumanMale,SFXPowerCustomActionMP_TechArmor,SFXPowerCustomActionMP_Warp,SFXPowerCustomActionMP_Throw,SFXPowerCustomActionMP_HumanPassive,SFXPowerCustomActionMP_HumanMeleePassive_Sentinel,254,Gb,fb,nc,ab,Za3
SoldierHumanFemale,SFXPowerCustomActionMP_AdrenalineRush,SFXPowerCustomActionMP_ConcussiveShot,SFXPowerCustomActionMP_FragGrenade,SFXPowerCustomActionMP_HumanPassive,SFXPowerCustomActionMP_HumanMeleePassive_Soldier,255,sc,wc,Cc,ab,Za
SoldierHumanMale,SFXPowerCustomActionMP_AdrenalineRush,SFXPowerCustomActionMP_ConcussiveShot,SFXPowerCustomActionMP_FragGrenade,SFXPowerCustomActionMP_HumanPassive,SFXPowerCustomActionMP_HumanMeleePassive_Soldier,256,sc,wc,Cc,ab,Za
VanguardHumanFemale,SFXPowerCustomActionMP_BioticCharge,SFXPowerCustomActionMP_Shockwave,SFXPowerCustomActionMP_Discharge,SFXPowerCustomActionMP_HumanPassive,SFXPowerCustomActionMP_HumanMeleePassive_Vanguard,257,lb,Fb,Bd,ab,Za5
VanguardHumanMale,SFXPowerCustomActionMP_BioticCharge,SFXPowerCustomActionMP_Shockwave,SFXPowerCustomActionMP_Discharge,SFXPowerCustomActionMP_HumanPassive,SFXPowerCustomActionMP_HumanMeleePassive_Vanguard,258,lb,Fb,Bd,ab,Za5
AdeptN7,SFXPowerCustomActionMP_AnnihilationSphere,SFXPowerCustomActionMP_DarkChannel2,SFXPowerCustomActionMP_Throw_N7,SFXPowerCustomActionMP_N7AdeptPassive,SFXPowerCustomActionMP_N7AdeptMeleePassive,373,bd,yc2,nc2,fv,Ga8
EngineerN7,SFXPowerCustomActionMP_SupplyTurret,SFXPowerCustomActionMP_EMPGrenade2,SFXPowerCustomActionMP_HomingGrenade,SFXPowerCustomActionMP_N7EngineerPassive,SFXPowerCustomActionMP_N7EngineerMeleePassive,374,tf,uj,Gc,dv,Ga4
SentinelN7,SFXPowerCustomActionMP_EnergyDrain,SFXPowerCustomActionMP_Incinerate,SFXPowerCustomActionMP_CryoCone,SFXPowerCustomActionMP_N7SentinelPassive,SFXPowerCustomActionMP_N7SentinelMeleePassive,375,Ac,tb,Qd,gv,Go
VanguardN7,SFXPowerCustomActionMP_BioticCharge,SFXPowerCustomActionMP_PalmBlaster,SFXPowerCustomActionMP_SonicSlash,SFXPowerCustomActionMP_N7VanguardPassive,SFXPowerCustomActionMP_N7VanguardMeleePassive,376,lb,We,je,iv,Ga9
InfiltratorN7,SFXPowerCustomActionMP_Cloak_N7Infiltrator,SFXPowerCustomActionMP_ElectricSlash,SFXPowerCustomActionMP_ShadowStrike,SFXPowerCustomActionMP_N7InfiltratorPassive,SFXPowerCustomActionMP_N7InfiltratorMeleePassive,377,bb3,xe,of,hv,Ho
