AdeptHumanMale , sfxgamempcontent.sfxpowercustomactionmp_singularity , sfxgamempcontent.SFXPowerCustomActionMP_Warp , sfxgamempcontent.SFXPowerCustomActionMP_Shockwave , sfxgamempcontent.sfxpowercustomactionmp_humanpassive , sfxgamempcontent.SFXPowerCustomActionMP_HumanMeleePassive_Adept
AdeptHumanFemale , sfxgamempcontent.sfxpowercustomactionmp_singularity , sfxgamempcontent.SFXPowerCustomActionMP_Warp , sfxgamempcontent.SFXPowerCustomActionMP_Shockwave , sfxgamempcontent.sfxpowercustomactionmp_humanpassive , sfxgamempcontent.SFXPowerCustomActionMP_HumanMeleePassive_Adept
AdeptAsari , sfxgamempcontent.SFXPowerCustomActionMP_Stasis , sfxgamempcontent.SFXPowerCustomActionMP_Warp , sfxgamempcontent.SFXPowerCustomActionMP_Throw , sfxgamempcontent.sfxpowercustomactionmp_asaripassive , sfxgamempcontent.SFXPowerCustomActionMP_AsariMeleePassive
AdeptDrell , sfxgamempcontent.sfxpowercustomactionmp_reave , sfxgamempcontent.SFXPowerCustomActionMP_Pull , sfxgamempcontent.SFXPowerCustomActionMP_BioticGrenade , sfxgamempcontent.sfxpowercustomactionmp_drellpassive , sfxgamempcontent.SFXPowerCustomActionMP_DrellMeleePassive
AdeptAsariCommando , sfxgamecontentdlc_con_mp1.SFXPowerCustomActionMP_BubbleShield , sfxgamecontentdlc_con_mp1.SFXPowerCustomActionMP_Reave_Asari , sfxgamecontentdlc_con_mp1.SFXPowerCustomActionMP_Pull_Asari , sfxgamecontentdlc_con_mp1.sfxpowercustomactionmp_asaricommandopassive , sfxgamecontentdlc_con_mp1.SFXPowerCustomActionMP_AsariMeleePassive_Commando
AdeptHumanMaleCerberus , sfxgamempcontent.sfxpowercustomactionmp_singularity , sfxgamecontentdlc_con_mp2.SFXPowerCustomAction_WhipSmash , sfxgamecontentdlc_con_mp2.SFXPowerCustomActionMP_Lash , sfxgamecontentdlc_con_mp2.sfxpowercustomactionmp_whipmanpassive , sfxgamecontentdlc_con_mp2.SFXPowerCustomActionMP_WhipManMeleePassive
AdeptN7 , sfxgamecontentdlc_con_mp3.SFXPowerCustomActionMP_AnnihilationSphere , sfxgamecontentdlc_con_mp3.SFXPowerCustomActionMP_DarkChannel2 , sfxgamecontentdlc_con_mp3.SFXPowerCustomActionMP_Throw_N7 , sfxgamecontentdlc_con_mp3.SFXPowerCustomActionMP_N7AdeptPassive , sfxgamecontentdlc_con_mp3.SFXPowerCustomActionMP_N7AdeptMeleePassive
AdeptVolus , sfxgamempcontent.SFXPowerCustomActionMP_Stasis , sfxgamecontentdlc_con_mp4.SFXPowerCustomActionMP_BioticOrbs , sfxgamecontentdlc_con_mp4.SFXPowerCustomActionMP_ShieldBoost , sfxgamecontentdlc_con_mp4.SFXPowerCustomActionMP_VolusPassive , sfxgamecontentdlc_con_mp4.SFXPowerCustomActionMP_VolusMeleePassive
AdeptKrogan , sfxgamecontentdlc_shared.SFXPowerCustomActionMP_Barrier_Shared , sfxgamempcontent.SFXPowerCustomActionMP_Warp , sfxgamempcontent.SFXPowerCustomActionMP_Shockwave , sfxgamempcontent.sfxpowercustomactionmp_kroganpassive , sfxgamempcontent.SFXPowerCustomActionMP_KroganMeleePassive
AdeptBatarian , sfxgamecontentdlc_shared.SFXPowerCustomActionMP_Lash_Shared , sfxgamempcontent.SFXPowerCustomActionMP_Warp , sfxgamempcontent.SFXPowerCustomActionMP_BioticGrenade , sfxgamecontentdlc_shared.SFXPowerCustomActionMP_BatarianPassive_Shared , sfxgamecontentdlc_shared.SFXPowerCustomActionMP_BatarianMeleePassive_Shared
AdeptCollector , sfxgamecontentdlc_con_mp5.SFXPowerCustomAction_DarkSingularity , sfxgamecontentdlc_con_mp5.SFXPowerCustomActionMP_SeekerSwarm , sfxgamecontentdlc_con_mp5.SFXPowerCustomActionMP_DarkChannelProthean , sfxgamecontentdlc_con_mp5.SFXPowerCustomActionMP_CollectorPassive , sfxgamecontentdlc_con_mp5.SFXPowerCustomActionMP_ProtheanMeleePassive
SoldierHumanMale , sfxgamempcontent.SFXPowerCustomActionMP_AdrenalineRush , sfxgamempcontent.sfxpowercustomactionmp_concussiveshot , sfxgamempcontent.SFXPowerCustomActionMP_FragGrenade , sfxgamempcontent.sfxpowercustomactionmp_humanpassive , sfxgamempcontent.SFXPowerCustomActionMP_HumanMeleePassive_Soldier
SoldierHumanFemale , sfxgamempcontent.SFXPowerCustomActionMP_AdrenalineRush , sfxgamempcontent.sfxpowercustomactionmp_concussiveshot , sfxgamempcontent.SFXPowerCustomActionMP_FragGrenade , sfxgamempcontent.sfxpowercustomactionmp_humanpassive , sfxgamempcontent.SFXPowerCustomActionMP_HumanMeleePassive_Soldier
SoldierKrogan , sfxgamempcontent.SFXPowerCustomActionMP_Fortification , sfxgamempcontent.SFXPowerCustomActionMP_Carnage , sfxgamempcontent.SFXPowerCustomActionMP_InfernoGrenade , sfxgamempcontent.sfxpowercustomactionmp_kroganpassive , sfxgamempcontent.SFXPowerCustomActionMP_KroganMeleePassive
SoldierTurian , sfxgamempcontent.sfxpowercustomactionmp_marksman , sfxgamempcontent.sfxpowercustomactionmp_concussiveshot , sfxgamempcontent.SFXPowerCustomActionMP_ProximityMine , sfxgamempcontent.sfxpowercustomactionmp_turianpassive , sfxgamempcontent.SFXPowerCustomActionMP_TurianMeleePassive
SoldierHumanMaleBF3 , sfxgamempcontent.SFXPowerCustomActionMP_AdrenalineRush , sfxgamempcontent.SFXPowerCustomActionMP_Carnage , sfxgamempcontent.SFXPowerCustomActionMP_FragGrenade , sfxgamempcontent.sfxpowercustomactionmp_humanpassive , sfxgamempcontent.SFXPowerCustomActionMP_HumanMeleePassive_Soldier
SoldierBatarian , sfxgamecontentdlc_con_mp1.sfxpowercustomactionmp_batarianattack , sfxgamecontentdlc_con_mp1.SFXPowerCustomActionMP_BatarianArmor , sfxgamecontentdlc_con_mp1.SFXPowerCustomActionMP_InfernoGrenade_Batarian , sfxgamecontentdlc_con_mp1.sfxpowercustomactionmp_batarianpassive , sfxgamecontentdlc_con_mp1.SFXPowerCustomActionMP_BatarianMeleePassive
SoldierVorcha , sfxgamecontentdlc_con_mp2.SFXPowerCustomActionMP_Bloodlust , sfxgamecontentdlc_con_mp2.sfxpowercustomactionmp_flamer , sfxgamempcontent.SFXPowerCustomActionMP_Carnage , sfxgamecontentdlc_con_mp2.sfxpowercustomactionmp_vorchapassive , sfxgamecontentdlc_con_mp2.SFXPowerCustomActionMP_VorchaMeleePassive
SoldierN7 , sfxgamecontentdlc_con_mp3.SFXPowerCustomAction_DevestatorMode , sfxgamecontentdlc_con_mp3.SFXPowerCustomAction_MissileLauncher , sfxgamecontentdlc_con_mp3.SFXPowerCustomAction_MultiFragGrenade , sfxgamempcontent.sfxpowercustomactionmp_humanpassive , sfxgamempcontent.SFXPowerCustomActionMP_HumanMeleePassive_Soldier
N7SoldierTurian , sfxgamecontentdlc_con_mp4.SFXPowerCustomActionMP_JetPackCharge , sfxgamecontentdlc_con_mp4.SFXPowerCustomActionMP_StimPack , sfxgamempcontent.SFXPowerCustomActionMP_CryoBlast , sfxgamecontentdlc_con_mp4.SFXPowerCustomActionMP_N7TurianPassive , sfxgamecontentdlc_con_mp4.SFXPowerCustomActionMP_N7TurianMeleePassive
SoldierGeth , sfxgamecontentdlc_shared.SFXPowerCustomActionMP_Flamer_Shared , sfxgamempcontent.SFXPowerCustomActionMP_Fortification , sfxgamecontentdlc_shared.SFXPowerCustomActionMP_Supercharge_Shared , sfxgamecontentdlc_shared.SFXPowerCustomActionMP_GethPassive_Shared , sfxgamecontentdlc_shared.SFXPowerCustomActionMP_GethMeleePassive_Shared
SoldierMQuarian , sfxgamempcontent.sfxpowercustomactionmp_marksman , sfxgamecontentdlc_shared.SFXPowerCustomActionMP_Damping_Shared , sfxgamempcontent.SFXPowerCustomActionMP_AIHacking , sfxgamecontentdlc_shared.SFXPowerCustomActionMP_MaleQuarianPassive_Shared , sfxgamecontentdlc_shared.SFXPowerCustomActionMP_MaleQuarianMeleePassive_Shared
SoldierGethDestroyer , sfxgamecontentdlc_con_mp5.SFXPowerCustomActionMP_HexShield , sfxgamecontentdlc_con_mp5.SFXPowerCustomActionMP_SiegePulse , sfxgamecontentdlc_con_mp5.SFXPowerCustomActionMP_GethSentryTurret_MP5 , sfxgamecontentdlc_con_mp5.SFXPowerCustomActionMP_GethDestroyerPassive , sfxgamecontentdlc_con_mp5.SFXPowerCustomActionMP_GethDestroyerMeleePassive
EngineerHumanMale , sfxgamempcontent.SFXPowerCustomActionMP_CombatDrone , sfxgamempcontent.SFXPowerCustomActionMP_Incinerate , sfxgamempcontent.SFXPowerCustomActionMP_Overload , sfxgamempcontent.sfxpowercustomactionmp_humanpassive , sfxgamempcontent.SFXPowerCustomActionMP_HumanMeleePassive_Engineer
EngineerHumanFemale , sfxgamempcontent.SFXPowerCustomActionMP_CombatDrone , sfxgamempcontent.SFXPowerCustomActionMP_Incinerate , sfxgamempcontent.SFXPowerCustomActionMP_Overload , sfxgamempcontent.sfxpowercustomactionmp_humanpassive , sfxgamempcontent.SFXPowerCustomActionMP_HumanMeleePassive_Engineer
EngineerQuarian , sfxgamempcontent.SFXPowerCustomActionMP_SentryTurret , sfxgamempcontent.SFXPowerCustomActionMP_Incinerate , sfxgamempcontent.SFXPowerCustomActionMP_CryoBlast , sfxgamempcontent.sfxpowercustomactionmp_femquarianpassive , sfxgamempcontent.SFXPowerCustomActionMP_FemQuarianMeleePassive
EngineerSalarian , sfxgamempcontent.SFXPowerCustomActionMP_EnergyDrain , sfxgamempcontent.SFXPowerCustomActionMP_Decoy , sfxgamempcontent.SFXPowerCustomActionMP_Incinerate , sfxgamempcontent.sfxpowercustomactionmp_salarianpassive , sfxgamempcontent.SFXPowerCustomActionMP_SalarianMeleePassive
EngineerGeth , sfxgamecontentdlc_con_mp1.SFXPowerCustomActionMP_GethSentryTurret , sfxgamecontentdlc_con_mp1.SFXPowerCustomActionMP_Supercharge , sfxgamecontentdlc_con_mp1.SFXPowerCustomActionMP_Overload_Geth , sfxgamecontentdlc_con_mp1.sfxpowercustomactionmp_gethpassive , sfxgamecontentdlc_con_mp1.SFXPowerCustomActionMP_GethMeleePassive
EngineerQuarianMale , sfxgamecontentdlc_con_mp2.sfxpowercustomactionmp_damping , sfxgamempcontent.SFXPowerCustomActionMP_Incinerate , sfxgamecontentdlc_con_mp2.SFXPowerCustomAction_EMPGrenade , sfxgamecontentdlc_con_mp2.sfxpowercustomactionmp_malequarianpassive , sfxgamecontentdlc_con_mp2.SFXPowerCustomActionMP_MaleQuarianMeleePassive
EngineerN7 , sfxgamecontentdlc_con_mp3.SFXPowerCustomActionMP_SupplyTurret , sfxgamecontentdlc_con_mp3.SFXPowerCustomActionMP_EMPGrenade2 , sfxgamecontentdlc_con_mp3.SFXPowerCustomActionMP_HomingGrenade , sfxgamecontentdlc_con_mp3.SFXPowerCustomActionMP_N7EngineerPassive , sfxgamecontentdlc_con_mp3.SFXPowerCustomActionMP_N7EngineerMeleePassive
EngineerVolus , sfxgamecontentdlc_con_mp4.SFXPowerCustomActionMP_ReconMine , sfxgamempcontent.SFXPowerCustomActionMP_ProximityMine , sfxgamecontentdlc_con_mp4.SFXPowerCustomActionMP_ShieldBoost , sfxgamecontentdlc_con_mp4.SFXPowerCustomActionMP_VolusPassive , sfxgamecontentdlc_con_mp4.SFXPowerCustomActionMP_VolusMeleePassive
EngineerTurian , sfxgamempcontent.SFXPowerCustomActionMP_SentryTurret , sfxgamempcontent.SFXPowerCustomActionMP_AIHacking , sfxgamecontentdlc_shared.SFXPowerCustomActionMP_HomingGrenade_Shared , sfxgamecontentdlc_con_mp4.SFXPowerCustomActionMP_N7TurianPassive , sfxgamecontentdlc_con_mp4.SFXPowerCustomActionMP_N7TurianMeleePassive
