Name,Description,Tier,Capstone,Comment,Archetype
Autoloader,"Picking up ammo, reloads current weapon beyond normal magazine capacity.",1,,Destiny 2,Artificer
Eezo-Infused Ammunition,Your weapon hits have 15% chance of sending enemies flying,1,,,Artificer
Machine Spirit,"Defeating enemies with tech powers, has a 15% chance of spawning a powerful drone. Drones expire after 60 seconds. Max 3 drones can be active at the same time.",2,,,Artificer
Project Drones,Your drones and turrets have greatly increased damage and health,1,,,Artificer
Upgraded Omnitool,At the start of the round select one Tech Power. It's cooldown is reduced. Stacks.,2,,,Artificer
Masterpiece,"At the start of the game select one of your weapons as your masterpiece. 
Masterpiece gains following bonuses:
- 50% Magazine Increase
- 15% Increased rate of fire
- 15% increased damage",2,,,Artificer
Super Suit,"At the start of the game select one of following bonuses to your armor:
- Sprinting massively inceases your melee damage. Decays over 5 seconds after stopping.
- Dodging recharges portion of your shield
- Your weapons have zero recoil",3,,,Artificer
,,3,,,Artificer
,,,,,Artificer
Jika-Tabi,"Sprinting for a short time, grants a drastic movement speed increased for 8 seconds",1,,,Assassin
Tactical Advantage,"Whenever your roll or enter cover, reduce your active cooldown. ",1,,,Assassin
Ambush,Deal 200% damage to enemies above 75% health.,1,,Diablo 3,Assassin
Single Out,Gain increased melee damage against enemies who are more than x meters away from any other enemies,2,,Diablo 3,Assassin
Thrill of the hunt,"Enemies you hit with your powers, have their damage and speed reduced.",2,,Diablo 3,Assassin
Surprise Attack,"Emerging from cloak, staggers nearby enemies",2,,,Assassin
Impossible Target,Entering cloak grants temporary invincibility. Killing a nearby enemy while this effect is active cloaks the player,,Yes,,Assassin
Primed for Takedown,"Enemies hit with your powers, take additional damage from all sources",3,,,Assassin
Advanced Decoy,"Dodging leaves behind an invulnerable, mobile decoy. Only one decoy can be active at a time. Expires after 15 seconds.",3,,,Assassin
Big Bada Boom,"Throwing a grenade, reloads your current weapon",1,,,Destroyer
Bloody Mess,"Defeating enemies with grenades, triggers health regeneration",1,,I don't love this effect,Destroyer
Ammo Belt,Your Assault Rifles have drastically increased magazine size,1,,,Destroyer
Suppressive Fire!,Continuously firing your weapon grants stacking damage reduction of 5% per second. Stacks 10 times.,3,,,Destroyer
Special Sauce,Your grenades have drastically increased damage. ,2,,,Destroyer
The Geneva What?,All your Assault Rifles deal explosive damage,,Yes,"Expand on this, its not as exciting as other capstones. Maybe add something about killing multiple enemies in a short span of time (2-3 seconds) granting some huge bonus.",Destroyer
Firmly Planted,Your are immune to staggers while firing your weapon,2,,,Destroyer
Bloodthirst,Hitting enemies with your weapon regenerates a small amount of health,2,,,Destroyer
Berserker Rage,"Deal increased damage while near maximum health, deal decreased damage while in cover",3,,,Destroyer
Hair Trigger,Heavy Pistol and SMG rate of fire is increased by 25%,1,,,Gunslinger
