AdeptHumanMale,sfxgamempcontent.sfxpowercustomactionmp_singularity,sfxgamempcontent.SFXPowerCustomActionMP_Warp,sfxgamempcontent.SFXPowerCustomActionMP_Shockwave
AdeptHumanFemale,sfxgamempcontent.sfxpowercustomactionmp_singularity,sfxgamempcontent.SFXPowerCustomActionMP_Warp,sfxgamempcontent.SFXPowerCustomActionMP_Shockwave
AdeptAsari,sfxgamempcontent.SFXPowerCustomActionMP_Stasis,sfxgamempcontent.SFXPowerCustomActionMP_Warp,sfxgamempcontent.SFXPowerCustomActionMP_Throw
AdeptDrell,sfxgamempcontent.sfxpowercustomactionmp_reave,sfxgamempcontent.SFXPowerCustomActionMP_Pull,sfxgamempcontent.SFXPowerCustomActionMP_BioticGrenade
AdeptAsariCommando,sfxgamecontentdlc_con_mp1.SFXPowerCustomActionMP_BubbleShield,sfxgamecontentdlc_con_mp1.SFXPowerCustomActionMP_Reave_Asari,sfxgamecontentdlc_con_mp1.SFXPowerCustomActionMP_Pull_Asari
AdeptHumanMaleCerberus,sfxgamempcontent.sfxpowercustomactionmp_singularity,sfxgamecontentdlc_con_mp2.SFXPowerCustomAction_WhipSmash,sfxgamecontentdlc_con_mp2.SFXPowerCustomActionMP_Lash
AdeptN7,sfxgamecontentdlc_con_mp3.SFXPowerCustomActionMP_AnnihilationSphere,sfxgamecontentdlc_con_mp3.SFXPowerCustomActionMP_DarkChannel2,sfxgamecontentdlc_con_mp3.SFXPowerCustomActionMP_Throw_N7
AdeptVolus,sfxgamempcontent.SFXPowerCustomActionMP_Stasis,sfxgamecontentdlc_con_mp4.SFXPowerCustomActionMP_BioticOrbs,sfxgamecontentdlc_con_mp4.SFXPowerCustomActionMP_ShieldBoost
AdeptKrogan,sfxgamecontentdlc_shared.SFXPowerCustomActionMP_Barrier_Shared,sfxgamempcontent.SFXPowerCustomActionMP_Warp,sfxgamempcontent.SFXPowerCustomActionMP_Shockwave
AdeptBatarian,sfxgamecontentdlc_shared.SFXPowerCustomActionMP_Lash_Shared,sfxgamempcontent.SFXPowerCustomActionMP_Warp,sfxgamempcontent.SFXPowerCustomActionMP_BioticGrenade
AdeptCollector,sfxgamecontentdlc_con_mp5.SFXPowerCustomAction_DarkSingularity,sfxgamecontentdlc_con_mp5.SFXPowerCustomActionMP_SeekerSwarm,sfxgamecontentdlc_con_mp5.SFXPowerCustomActionMP_DarkChannelProthean
SoldierHumanMale,sfxgamempcontent.SFXPowerCustomActionMP_AdrenalineRush,sfxgamempcontent.sfxpowercustomactionmp_concussiveshot,sfxgamempcontent.SFXPowerCustomActionMP_FragGrenade
SoldierHumanFemale,sfxgamempcontent.SFXPowerCustomActionMP_AdrenalineRush,sfxgamempcontent.sfxpowercustomactionmp_concussiveshot,sfxgamempcontent.SFXPowerCustomActionMP_FragGrenade
SoldierKrogan,sfxgamempcontent.SFXPowerCustomActionMP_Fortification,sfxgamempcontent.SFXPowerCustomActionMP_Carnage,sfxgamempcontent.SFXPowerCustomActionMP_InfernoGrenade
SoldierTurian,sfxgamempcontent.sfxpowercustomactionmp_marksman,sfxgamempcontent.sfxpowercustomactionmp_concussiveshot,sfxgamempcontent.SFXPowerCustomActionMP_ProximityMine
SoldierHumanMaleBF3,sfxgamempcontent.SFXPowerCustomActionMP_AdrenalineRush,sfxgamempcontent.SFXPowerCustomActionMP_Carnage,sfxgamempcontent.SFXPowerCustomActionMP_FragGrenade
SoldierBatarian,sfxgamecontentdlc_con_mp1.sfxpowercustomactionmp_batarianattack,sfxgamecontentdlc_con_mp1.SFXPowerCustomActionMP_BatarianArmor,sfxgamecontentdlc_con_mp1.SFXPowerCustomActionMP_InfernoGrenade_Batarian
SoldierVorcha,sfxgamecontentdlc_con_mp2.SFXPowerCustomActionMP_Bloodlust,sfxgamecontentdlc_con_mp2.sfxpowercustomactionmp_flamer,sfxgamempcontent.SFXPowerCustomActionMP_Carnage
SoldierN7,sfxgamecontentdlc_con_mp3.SFXPowerCustomAction_DevestatorMode,sfxgamecontentdlc_con_mp3.SFXPowerCustomAction_MissileLauncher,sfxgamecontentdlc_con_mp3.SFXPowerCustomAction_MultiFragGrenade
N7SoldierTurian,sfxgamecontentdlc_con_mp4.SFXPowerCustomActionMP_JetPackCharge,sfxgamecontentdlc_con_mp4.SFXPowerCustomActionMP_StimPack,sfxgamempcontent.SFXPowerCustomActionMP_CryoBlast
SoldierGeth,sfxgamecontentdlc_shared.SFXPowerCustomActionMP_Flamer_Shared,sfxgamempcontent.SFXPowerCustomActionMP_Fortification,sfxgamecontentdlc_shared.SFXPowerCustomActionMP_Supercharge_Shared
SoldierMQuarian,sfxgamempcontent.sfxpowercustomactionmp_marksman,sfxgamecontentdlc_shared.SFXPowerCustomActionMP_Damping_Shared,sfxgamempcontent.SFXPowerCustomActionMP_AIHacking
SoldierGethDestroyer,sfxgamecontentdlc_con_mp5.SFXPowerCustomActionMP_HexShield,sfxgamecontentdlc_con_mp5.SFXPowerCustomActionMP_SiegePulse,sfxgamecontentdlc_con_mp5.SFXPowerCustomActionMP_GethSentryTurret_MP5
EngineerHumanMale,sfxgamempcontent.SFXPowerCustomActionMP_CombatDrone,sfxgamempcontent.SFXPowerCustomActionMP_Incinerate,sfxgamempcontent.SFXPowerCustomActionMP_Overload
EngineerHumanFemale,sfxgamempcontent.SFXPowerCustomActionMP_CombatDrone,sfxgamempcontent.SFXPowerCustomActionMP_Incinerate,sfxgamempcontent.SFXPowerCustomActionMP_Overload
EngineerQuarian,sfxgamempcontent.SFXPowerCustomActionMP_SentryTurret,sfxgamempcontent.SFXPowerCustomActionMP_Incinerate,sfxgamempcontent.SFXPowerCustomActionMP_CryoBlast
EngineerSalarian,sfxgamempcontent.SFXPowerCustomActionMP_EnergyDrain,sfxgamempcontent.SFXPowerCustomActionMP_Decoy,sfxgamempcontent.SFXPowerCustomActionMP_Incinerate
EngineerGeth,sfxgamecontentdlc_con_mp1.SFXPowerCustomActionMP_GethSentryTurret,sfxgamecontentdlc_con_mp1.SFXPowerCustomActionMP_Supercharge,sfxgamecontentdlc_con_mp1.SFXPowerCustomActionMP_Overload_Geth
EngineerQuarianMale,sfxgamecontentdlc_con_mp2.sfxpowercustomactionmp_damping,sfxgamempcontent.SFXPowerCustomActionMP_Incinerate,sfxgamecontentdlc_con_mp2.SFXPowerCustomAction_EMPGrenade
EngineerN7,sfxgamecontentdlc_con_mp3.SFXPowerCustomActionMP_SupplyTurret,sfxgamecontentdlc_con_mp3.SFXPowerCustomActionMP_EMPGrenade2,sfxgamecontentdlc_con_mp3.SFXPowerCustomActionMP_HomingGrenade
EngineerVolus,sfxgamecontentdlc_con_mp4.SFXPowerCustomActionMP_ReconMine,sfxgamempcontent.SFXPowerCustomActionMP_ProximityMine,sfxgamecontentdlc_con_mp4.SFXPowerCustomActionMP_ShieldBoost
EngineerTurian,sfxgamempcontent.SFXPowerCustomActionMP_SentryTurret,sfxgamempcontent.SFXPowerCustomActionMP_AIHacking,sfxgamecontentdlc_shared.SFXPowerCustomActionMP_HomingGrenade_Shared
EngineerVorcha,sfxgamecontentdlc_shared.SFXPowerCustomActionMP_BatarianNet_Shared,sfxgamempcontent.SFXPowerCustomActionMP_Incinerate,sfxgamecontentdlc_shared.SFXPowerCustomActionMP_Bloodlust_Shared
EngineerMerc,sfxgamecontentdlc_con_mp5.SFXPowerCustomActionMP_CainMine,sfxgamecontentdlc_con_mp5.SFXPowerCustomActionMP_MercBowModalOne,sfxgamecontentdlc_con_mp5.SFXPowerCustomActionMP_MercBowModalTwo
SentinelHumanMale,sfxgamempcontent.SFXPowerCustomActionMP_TechArmor,sfxgamempcontent.SFXPowerCustomActionMP_Warp,sfxgamempcontent.SFXPowerCustomActionMP_Throw
SentinelHumanFemale,sfxgamempcontent.SFXPowerCustomActionMP_TechArmor,sfxgamempcontent.SFXPowerCustomActionMP_Warp,sfxgamempcontent.SFXPowerCustomActionMP_Throw
SentinelTurian,sfxgamempcontent.SFXPowerCustomActionMP_TechArmor_Turian,sfxgamempcontent.SFXPowerCustomActionMP_Warp,sfxgamempcontent.SFXPowerCustomActionMP_Overload
SentinelKrogan,sfxgamempcontent.SFXPowerCustomActionMP_TechArmor_Krogan,sfxgamempcontent.SFXPowerCustomActionMP_Incinerate,sfxgamempcontent.SFXPowerCustomActionMP_LiftGrenade
SentinelBatarian,sfxgamecontentdlc_con_mp1.SFXPowerCustomActionMP_BatarianArmor,sfxgamecontentdlc_con_mp1.SFXPowerCustomActionMP_Shockwave_Batarian,sfxgamecontentdlc_con_mp1.SFXPowerCustomActionMP_BatarianNet
SentinelVorcha,sfxgamecontentdlc_con_mp2.SFXPowerCustomActionMP_Bloodlust,sfxgamecontentdlc_con_mp2.sfxpowercustomactionmp_flamer,sfxgamempcontent.SFXPowerCustomActionMP_BioticGrenade
SentinelN7,sfxgamempcontent.SFXPowerCustomActionMP_EnergyDrain,sfxgamempcontent.SFXPowerCustomActionMP_Incinerate,sfxgamecontentdlc_con_mp3.SFXPowerCustomActionMP_CryoCone
SentinelVolus,sfxgamecontentdlc_con_mp4.SFXPowerCustomActionMP_Decoy_Volus,sfxgamempcontent.SFXPowerCustomActionMP_CombatDrone,sfxgamecontentdlc_con_mp4.SFXPowerCustomActionMP_ShieldBoost
SentinelAsari,sfxgamempcontent.SFXPowerCustomActionMP_TechArmor,sfxgamempcontent.SFXPowerCustomActionMP_Warp,sfxgamecontentdlc_shared.SFXPowerCustomActionMP_AnnihilationSphere_Shared
SentinelKroganWarlord,sfxgamecontentdlc_con_mp5.SFXPowerCustomActionMP_TechArmor_Warlord,sfxgamecontentdlc_con_mp5.SFXPowerCustomActionMP_BioticHammerModal,sfxgamecontentdlc_con_mp5.SFXPowerCustomActionMP_TechHammerModal
InfiltratorHumanMale,sfxgamempcontent.SFXPowerCustomActionMP_Cloak,sfxgamempcontent.SFXPowerCustomActionMP_CryoBlast,sfxgamempcontent.SFXPowerCustomActionMP_StickyGrenade
InfiltratorHumanFemale,sfxgamempcontent.SFXPowerCustomActionMP_Cloak,sfxgamempcontent.SFXPowerCustomActionMP_CryoBlast,sfxgamempcontent.SFXPowerCustomActionMP_StickyGrenade
InfiltratorSalarian,sfxgamempcontent.SFXPowerCustomActionMP_Cloak,sfxgamempcontent.SFXPowerCustomActionMP_ProximityMine,sfxgamempcontent.SFXPowerCustomActionMP_EnergyDrain
